num_of_people_rated,rating,discount,new_price,old_price,item name
4.8 out of 5(6),4.8 out of 5,38%,"₦ 37,600 - ₦ 39,500","₦ 60,160 - ₦ 63,200",Big Size Men Glossy Tassel Brogue Leather Shoes-black White
4 out of 5(1),4 out of 5,47%,"₦ 26,000","₦ 49,000",Clarks Clark Men Fashion Shoe Gray
5 out of 5(1),5 out of 5,,"₦ 10,499",,Baby Girl Soft  Soled Shoe With Flower Bow And Headbands
5 out of 5(1),5 out of 5,60%,"₦ 19,136","₦ 47,839",ADIDAS Performance Football Shoes Kids Predator 19.4 In Sala J
,,45%,"₦ 26,400","₦ 47,856",Women's Fashion Business Work Casual Leather Shoes-Black
3 out of 5(1),3 out of 5,36%,"₦ 16,000","₦ 25,000",Fringed Mens Leisure Half Shoes Luxury Suede Formal Sandals Yellow
,,17%,"₦ 9,999","₦ 12,000",Baby Sneakers Colorful Light Shoe - Pink
4.5 out of 5(2),4.5 out of 5,52%,"₦ 38,200","₦ 80,200",Mens Formal Shoes Dress Wedding Shoes-White
5 out of 5(1),5 out of 5,51%,"₦ 12,800","₦ 26,000",Boy Dress Shoes 2023 New Kids Formal Shoes-Brown
4.3 out of 5(4),4.3 out of 5,6%,"₦ 7,500","₦ 8,000",Back To School Girls Children School Shoe - Black (With Socks)
,,,"₦ 11,000",,SPORT Fast Men Football Boot
4.5 out of 5(2),4.5 out of 5,,"₦ 14,000",,Girls Black Back To School Shoes
4 out of 5(3),4 out of 5,43%,"₦ 6,900","₦ 12,000",Comfy Unisex School Shoe
,,61%,"₦ 37,800 - ₦ 39,800","₦ 96,750 - ₦ 101,750",Flangesio New Arrival Hiking Shoes Men Sneakers EUR Size 39-49 Outdoor Mountain Climbing Shoes High Quality Male Sport Trekking Sneakers Suede Leather Combat Desert Training Shoes Wear-resistant Work Sneakers Grey
5 out of 5(1),5 out of 5,,"₦ 4,500",,SPORT Casual/school Shoe For Girls Ladies Flat Shoe-black
4.5 out of 5(2),4.5 out of 5,29%,"₦ 24,532","₦ 34,600",Mens Formal Shoes Fashion Crocodile Pattern Embossing Lefu Leather Shoes Black
5 out of 5(1),5 out of 5,45%,"₦ 16,500 - ₦ 16,600","₦ 29,800",Vangelo BROUGUE ITALIAN LEATHER BLACK  SHOE
,,50%,"₦ 39,312 - ₦ 51,533","₦ 78,624 - ₦ 103,065",Men Shoes Fashion Sneakers Skate Shoes-White
,,41%,"₦ 24,252 - ₦ 27,160","₦ 36,300 - ₦ 46,300",Children's Leather Shoes Sweet Princess Shoes-Black
,,,"₦ 17,000",,Children Boy's Half Shoes - Black
,,50%,"₦ 33,760","₦ 67,520",Children's Basketball Shoes Boys Knitted Sneakers  (Sky Blue)
5 out of 5(1),5 out of 5,59%,"₦ 15,500","₦ 38,000",ZRIANG Men Leather Slip On Shoe Brown
,,19%,"₦ 14,499","₦ 18,000",Mens Basket Fashion Leather Half Shoe - Black
,,47%,"₦ 15,500","₦ 29,500",New NASUN   CONFIRM Design FOOTBALL BOOT YELLOW
,,42%,"₦ 29,712 - ₦ 33,636","₦ 51,156",Kids Running Shoes For Girls Breathable Sport Sneakers Spring Big Children Shoe
4.3 out of 5(4),4.3 out of 5,31%,"₦ 11,500","₦ 16,700",New Princess Shoes Girls Bow-Tie Party Dance Shoe-White
4.3 out of 5(26),4.3 out of 5,,"₦ 7,500",,Fuce Boys Casual School Men Sandal-black
,,23%,"₦ 34,399","₦ 44,400",Elegant Men Corporate Leather Shoe-Black
4.7 out of 5(7),4.7 out of 5,41%,"₦ 28,500","₦ 48,000",Men's Cozy Damping Running Shoes Fashion Breathable Sneaker
,,,"₦ 15,000",,Boys Girls Children Sneakers
4 out of 5(1),4 out of 5,48%,"₦ 13,800","₦ 26,500",Depally Men Classic Gold Designers Shoe Black
3.5 out of 5(2),3.5 out of 5,49%,"₦ 32,500","₦ 64,000",Girls Sports Sweet Princess All-match Comfortable Casual Board Shoes White
,,,"₦ 13,000",,"Female Lace Up Fashion, Comfortable Sneakers Black"
4 out of 5(8),4 out of 5,40%,"₦ 29,900","₦ 49,900",Big Size 39-46 Men Suede Leather Formal Business Shoes Brown
,,10%,"₦ 13,194","₦ 14,611",Sandals For Newborn Babies-Grise
5 out of 5(1),5 out of 5,,"₦ 25,600",,Mens Football Boots
,,44%,"₦ 25,760 - ₦ 34,960","₦ 46,000 - ₦ 55,200",{MijaGrace} Men's High-Top Anti-Skid Studded Football Boot - Black - EU36-49
,,25%,"₦ 5,999","₦ 8,000",Ladies Everything Ladies Casual White Attractive Chillout Comfortable Shoes - Outdoor Sneakers
,,,"₦ 12,500",,Men Formal Casual Loafers Blue
,,34%,"₦ 35,612","₦ 54,080",Children's Basketball Shoes Boys Sneakers Kids High Tops Shoes (Black)
,,50%,"₦ 17,500","₦ 34,900",Men's Black All-match Leather Shoes
,,29%,"₦ 7,503","₦ 10,504",100Pcs Disposable Plastic Shoe Covers Cleaning Overshoes Blue
,,50%,"₦ 17,578","₦ 34,890",A4 Fashion Men's Business Soft-soled Leather Shoes-Blue
,,34%,"₦ 36,096 - ₦ 51,992","₦ 52,448 - ₦ 78,416",Male Formal Shoes Men Loafers Leather Slip On Tassel Wedding Party Shoes Mens Oxfords Shoes Brown
,,50%,"₦ 36,123","₦ 72,246",Men's Fashion Semi Toes Crocodile Pattern
,,50%,"₦ 24,422","₦ 48,844",Children Lightweight Running Sneakers Boys Girls Shoes
,,48%,"₦ 31,055","₦ 59,510",Men's Italian Plus Size Smooth Leather Shoes Brown
,,47%,"₦ 33,200","₦ 63,000",Mens Slippers Casual Half  Shoes-Brown
,,,"₦ 13,000 - ₦ 13,500",,SPORT Men Football Strong Soccer Boots Blue
,,35%,"₦ 39,260","₦ 60,520",2021 Men's Penny Leather Luxury Italian Fashion Office Wedding Shoes - Black
,,50%,"₦ 36,360","₦ 72,780",Pointe Shoes For Ballet Girl Bandage Women
5 out of 5(1),5 out of 5,44%,"₦ 27,463","₦ 48,926",Men's New Casual Leather Shoes Comfortable Brown
4 out of 5(1),4 out of 5,38%,"₦ 15,800","₦ 25,600",Mens Football Boots
,,55%,"₦ 45,500","₦ 100,000",Pringles Sour Onions Flavour 165g  1carton (19 Pieces)
,,,"₦ 51,950",,"Safety Jogger GREY FITZ S1P LIGHTWEIGHT SAFETY SHOE, SAFETY BOOT"
4.2 out of 5(5),4.2 out of 5,,"₦ 4,450",,Kids Cartoon Character Casual/Bathroom Slippers (Pink)
,,,"₦ 54,500",,Clarks Italian  Leather Work Shoe
4 out of 5(1),4 out of 5,68%,"₦ 8,999","₦ 28,000",Cool Simple Casual Men's Brighton Sneaker Canvas - Shoe
,,13%,"₦ 69,890","₦ 79,990",Safety Boots Steel Toe Work Shoes Durable Leather Upper
3.3 out of 5(3),3.3 out of 5,47%,"₦ 37,563","₦ 70,926",2022 Men's PU Leather Free Slip-On Loafer Waterproof Formal Shoes - Black
,,,"₦ 7,000",,Smart Kids Sport Casual Comfortable Unisex School Sneakers Shoe - Black
,,,"₦ 8,500",,Unisex First Walker  Sandals
5 out of 5(1),5 out of 5,50%,"₦ 5,500","₦ 11,000",Kids Slip-On School Shoe - Black
5 out of 5(1),5 out of 5,,"₦ 9,600",,Unisex Children School Shoes
,,42%,"₦ 29,712 - ₦ 36,336","₦ 51,156",Autumn Unisex Casual Children Sport Toddler Kids Shoes Sneaker
,,20%,"₦ 32,210","₦ 40,263",(9917 Blue)Oxford Leather Shoes Men Breathable Patent Leather Formal Shoes Plus Size Man Office Wedding Flats Male Black Luxury Business JIN
5 out of 5(1),5 out of 5,41%,"₦ 5,900","₦ 10,000","Top Quality Disposable Shoe Covers, 100pcs Pieces"
,,16%,"₦ 42,943","₦ 51,218",Men Suede Leather Formal Business Shoes Black
3.9 out of 5(543),3.9 out of 5,24%,"₦ 42,500","₦ 56,000","Wooden Wardrobe 4 Columns (L205cm, B45cm, H175cm) Blue Color"
,,,"₦ 7,500",,Trendy Girls Slippers
2 out of 5(1),2 out of 5,53%,"₦ 14,000","₦ 30,000",Mens Half Shoes Loafers Casual Leather Shoes Grey
,,50%,"₦ 24,999 - ₦ 25,999","₦ 50,000",Men'S 2023 Men's Casual Formal Business Cooperate Shoe - Black Office Shoe + Shoe Box
,,26%,"₦ 36,542 - ₦ 38,570","₦ 49,280",Summer New Mens Half Shoes Formal Sandals Footwear Brown
2 out of 5(1),2 out of 5,38%,"₦ 41,300","₦ 66,080",Mens Lace-Up Ankle Boots Chelsea Martin Boots Casual Leather Boots Brown
,,48%,"₦ 33,894","₦ 65,000",Big Size 38-48 Mens Formal Shoes Brock Classic Oxford Shoes Lace-Up Wedding Footwear Black
,,42%,"₦ 40,042","₦ 69,120",Spring High-Grade Dr. Martens Boots British Style Formal Wear Business Wedding Bridegroom Leather Shoes Men's Big Head Workwear ACU
4.5 out of 5(2),4.5 out of 5,47%,"₦ 34,544 - ₦ 35,974","₦ 65,000",Mens Ankle Boot Fashion Formal Leather Mid Top Shoes Black
,,,"₦ 78,000",,"Chicago Skates Circle Society Classic Adjustable Skate, Cotton Candy"
,,37%,"₦ 17,980","₦ 28,500",DEPALLY SMALL/BIG STONE DESIGNERS SHOE BLACK
,,60%,"₦ 50,100","₦ 125,250",Flangesio Men's Casual Business Shoes Microfiber Leather Slip On Mens Dress Office Flats Men Fashion High Quality Luxury Wedding Party Formal Oxfords Shoes Black EUR Size 38-46
,,25%,"₦ 8,108","₦ 10,810",Defacto Boy Casual Sandals - Navy
,,50%,"₦ 16,900 - ₦ 24,527","₦ 33,800 - ₦ 49,054",2022 New Boys Thick Sneakers Trendy Casual Shoes
4 out of 5(2),4 out of 5,38%,"₦ 40,200 - ₦ 41,600","₦ 64,320 - ₦ 66,560",British Style Men's Natural Leather Shoes-Black
,,38%,"₦ 33,900","₦ 54,240",Crocodile Pattern Genuine Leather Loafers Men Tassel Shoes Casual Moccasins -Brown
,,20%,"₦ 61,716","₦ 77,145",(Black)New Man Japan Harajuku Korean Streetwear Fashion Business Wedding Leather Shoe Men High Sole Platform Casual Leather Shoes JIN
,,48%,"₦ 31,533","₦ 60,466",Men's Italian Plus Size Smooth Leather Shoes Black
,,45%,"₦ 27,772","₦ 50,727",Italian Luxury Quality Men's Lace Up Brogue Oxfords Men Casual Shoes For Men Business Shoes Leather Formal Shoes Black
,,52%,"₦ 21,990 - ₦ 27,990","₦ 46,179 - ₦ 58,779",Children's Non-slip Plush Lining Warm Martin Boots Snow Boots-Pink
,,20%,"₦ 20,000","₦ 25,000",6 Tiers Double Column Two Sided Shoe Rack With Fabric Cover
,,22%,"₦ 7,800 - ₦ 9,000","₦ 10,000",Unisex White Sport/School Canvas For Kids/Adult
5 out of 5(1),5 out of 5,,"₦ 7,500 - ₦ 13,000",,Bts Back To School Black Leather Unisex Kids School Shoes
,,50%,"₦ 39,686 - ₦ 43,034","₦ 79,431 - ₦ 86,127",New Ubber Hight Cut Outdoor Non-slip BasketBall Shoes For Men Shoes
1 out of 5(1),1 out of 5,39%,"₦ 16,980","₦ 27,800",Depally Men P Stone Designers Shoe Black
,,50%,"₦ 36,960","₦ 73,980",Pointe Shoes For Ballet Girl Bandage Women
,,31%,"₦ 35,420","₦ 51,020",Men Soccer Shoes AG High Ankle Football Boots Men Sneakers
,,50%,"₦ 37,699","₦ 75,398",Men's Casual Breathable Peas Shoes
,,,"₦ 6,800",,Eva Baby Girl Sandals Pink
,,38%,"₦ 28,000","₦ 45,000",Clarks Executive New Clark  Casuasl& Fashionable Sneakers
,,50%,"₦ 37,344","₦ 74,688",Men's Fashion Casual Lace-Up Shoes
,,16%,"₦ 33,020","₦ 39,370",Football Boots Adult/Kids Training Football Boots White
4 out of 5(1),4 out of 5,,"₦ 6,500",,Place Infant Baby Boys Shoes -Black
,,51%,"₦ 36,978","₦ 75,000",Mens Low Cut Chelsea Martin Boots 38-47 Size Ankle Boots Casual Leather Boots Brown
,,,"₦ 8,500",,Baby Girl First Walker  Sandals
,,50%,"₦ 29,444 - ₦ 30,895","₦ 58,888 - ₦ 61,790",Men's Fashion Breathable Trend Running Shoes Cushion Shoes Fashion Breathable Sneaker
,,45%,"₦ 46,000","₦ 83,636",XCST-BNZHO Fashion Man Oxford Leather Shoes Rubber Sole Man Business Office Social Shoes Male Dress Shoes Wedding Party Shoes Black EUR Size 38-46
4.3 out of 5(6),4.3 out of 5,28%,"₦ 14,500","₦ 20,000",Mens Half Shoes Hot Ins Fashion Sandals Black
,,50%,"₦ 30,176","₦ 60,411",Boys Sneakers Kid's Knitting Sock Shoes (White&Blue)
3 out of 5(1),3 out of 5,42%,"₦ 6,999","₦ 11,999",Unisex Running Shoes - Back To School
,,50%,"₦ 15,000","₦ 30,000",Men Sandals Soft Flat Male Shoes Casual Roman Sandals - Black
,,36%,"₦ 16,000","₦ 25,000",Men's Casual Half Shoes Party Footwear - Black
5 out of 5(1),5 out of 5,,"₦ 19,000",,SPORT Men Ankle Football Boot Black
,,24%,"₦ 45,866","₦ 59,986",Big Size 38-48 Mens Comfortable Casual Loafers High Quality Slip-On Leather Driving Shoes Black
4.9 out of 5(8),4.9 out of 5,,"₦ 65,950",,"Safety Jogger TURBO JOGGERS SAFETY SHOE, SAFETY BOOT"
4 out of 5(1),4 out of 5,22%,"₦ 25,000","₦ 32,000",Double Face Shoe Rack + Fabric Cover For 36 Pairs
,,60%,"₦ 27,608","₦ 69,020",ADIDAS Performance Football Shoes Kids X 18.3 In J
,,,"₦ 52,000",,Leather Office Shoe
,,50%,"₦ 15,000 - ₦ 16,000","₦ 30,000",Mens Simple Half Shoe - Black
,,,"₦ 29,000",,SPORT Men Strong Football Boot Pink
5 out of 5(1),5 out of 5,4%,"₦ 40,205 - ₦ 43,430","₦ 41,750 - ₦ 44,975",Gold Cool Hip-hop Print Breathable Boys Kids Children Shoes
4.5 out of 5(2),4.5 out of 5,38%,"₦ 37,300","₦ 59,680",Mens Loafers Leather Shoes Formal Shoes - Brown
,,,"₦ 9,000",,Cortina Back To School Kids Cortina Shoes..size 37
,,45%,"₦ 29,900","₦ 54,364",XCST-BNZHO EU 38-48 Men Leather Loafers Casual Shoes Classic Men Luxury Shoes Mens Slip On For Fashion Men's Brown Formal Shoes
,,55%,"₦ 36,542","₦ 81,333",Classic Brogue Dress Shoes For Man Handmade Colour Splicing Leather Shoes Men Party Wedding Shoes Flats Men Oxfords Formal Shoes Lace Up Office Business Shoes EUR Size 38-46
,,,"₦ 19,000",,Boys Girls Children Sneakers
,,20%,"₦ 32,081","₦ 40,101",(Black)Spring Autumn Men 2023new Pointed Toe Cover Shoe Low Upper Formal Dress Large Shoe Wedding Shoe Men Business Patent Leather Shoe JIN
4.3 out of 5(3),4.3 out of 5,21%,"₦ 32,100","₦ 40,600",Men Dress Shoes Plus Size Business Formal Office Shoes
,,33%,"₦ 3,999","₦ 5,999",Baby Boys Sandals Shoe Sneaker Anti
2.8 out of 5(4),2.8 out of 5,14%,"₦ 21,500","₦ 25,000",6 Tiers Double Column Shoe Rack
2 out of 5(1),2 out of 5,,"₦ 13,500",,Stainless Shoe Rack + Bold Steel Pipe For 20 Pairs 5-Layers
,,48%,"₦ 27,300 - ₦ 28,600","₦ 52,300 - ₦ 54,900",Big Size Women Sneaker Female Walking Shoes-White Black
,,41%,"₦ 30,396 - ₦ 30,840","₦ 51,156",Classic Luxury Designer Shoes For Men
,,52%,"₦ 33,251","₦ 68,902",Men's Italian Plus Size Smooth Leather Shoes Brown
3 out of 5(2),3 out of 5,,"₦ 10,500",,Stainless Shoe Rack + Bold Pipes For 24-Pairs
,,20%,"₦ 33,892","₦ 42,366",(9917 Grey)shoes For Men Fashion Men's Dress Shoes Big Size Business Oxfords Designer Male Daily Shoes PU Leather Man Shoes Zapatos Hombre ACU
,,19%,"₦ 8,500","₦ 10,500",Girls Rubber School Shoes
,,1%,"₦ 37,888","₦ 38,000",YT585188 Outdoor La E-up High-top Hiking Boots Sport Men's Shoes For  Limbing-brown-47
5 out of 5(1),5 out of 5,10%,"₦ 8,999","₦ 10,000",9  Pairs NEW BORN TODDLER BOOTIES GIFT SET
,,22%,"₦ 36,996","₦ 47,268",High Quality Men's Loafers Suede Beanie Shoes -Black
,,5%,"₦ 41,990","₦ 43,990",Men Soccer Shoes High Ankle Football Boots Men Sneakers
,,50%,"₦ 32,970","₦ 65,939",Men's Shoes Pointed Bright Leather Wedding Men Single Shoes
,,45%,"₦ 46,000","₦ 83,636",XCST-BNZHO Fashion Mens Monk Strap Dress Shoes Leather Handmade Wedding Shoes  Office Formal Business Social Shoes For Men EU 38-48 Brown
,,52%,"₦ 31,200 - ₦ 43,231","₦ 49,676 - ₦ 64,579",Half  Drag Snake Grain  Men's Leather Shoes
,,50%,"₦ 25,990","₦ 51,980",Kids LED Light-up Shoes Girls Velcro Sneakers (Pink)
,,56%,"₦ 21,765 - ₦ 23,795","₦ 50,000",Men's Fashion Half Shoes Men's Loafers Black
,,34%,"₦ 60,845","₦ 91,749",Men's Fashion Glossy Fringed Brogues
,,25%,"₦ 36,392","₦ 48,750",Top Quality Mens Shoes Full Grain Leather Business Formal Shoes Elegant Oxford Shoes For Men Black
4 out of 5(4),4 out of 5,66%,"₦ 8,500","₦ 25,000",Varrati Patent Tuxedo Dress Shoes In Black
,,50%,"₦ 15,795 - ₦ 21,688","₦ 31,590 - ₦ 43,376",Children's Shoes Martin Boots Campus Students' Shoes
,,42%,"₦ 53,804","₦ 92,667",Men's Fashion Half Toes
,,,"₦ 10,499",,Baby Girl Soft  Soled Shoe With Flower Bow And Headbands
,,29%,"₦ 18,919","₦ 26,487",5 Layer Sunglasses Eyeglass Rack Glasses Display Stand
,,50%,"₦ 34,530 - ₦ 38,850","₦ 69,120 - ₦ 77,760",Mens Half Shoes Formal Dress Sandals-Black
,,,"₦ 10,000",,Fancy Children Crocs With Different Glitz Designs -Green
4 out of 5(1),4 out of 5,,"₦ 5,999",,"Black Boys School Shoes, Double Strap"
3.7 out of 5(3),3.7 out of 5,43%,"₦ 20,533","₦ 35,933",Simple Soft Sole Shoes-JMT Black
,,50%,"₦ 23,195","₦ 46,389",Men's All-match Leather Shoes
,,38%,"₦ 24,999 - ₦ 25,999","₦ 40,000",2023 Men's Simple High Quality Coprate Shoes - Brown
,,45%,"₦ 38,148","₦ 69,516",Men's Italian Plus Size Smooth Leather Shoes Brown
,,50%,"₦ 15,000","₦ 30,000",Classic Fashionable Men's Half Shoe
5 out of 5(1),5 out of 5,23%,"₦ 2,730","₦ 3,549",Wood Shoe  Long Shoehorn With Thick Handle Shoes Or
,,,"₦ 7,500",,Unisex Newborn Baby Soft Soles Crib Sneakers - Red
,,,"₦ 4,500",,Children's Cartoon Character  Crocs
,,12%,"₦ 7,899","₦ 9,000",Unisex Waterproof Rain & Mud & Dirt Shoe Cover Overshoe
,,,"₦ 58,000",,Gianfranco Butteri Butteri Big Flat Sole
5 out of 5(1),5 out of 5,,"₦ 12,799",,Baby Soft Sole Booties Shoe
,,47%,"₦ 42,243","₦ 79,997",USB Charging Light Up Shoes Sports LED Shoes Dancing Sneakers
,,67%,"₦ 22,750","₦ 68,520",Children Girls Fashion Sandals Summer New Black
5 out of 5(1),5 out of 5,,"₦ 6,980",,Ladies Flat Shoe -Black
,,,"₦ 75,000",,Oggi Brown  Upper Class
,,8%,"₦ 42,062","₦ 45,708",High Quality Full Grain Leather Casual Men Shoes Cool Brown
,,42%,"₦ 49,030","₦ 84,534",Princess Girls Sandals Kids Shoes For Girls Dress Shoes Little High Heel Glitter Summer Party Wedding Sandal Children Shoe Pink
1 out of 5(1),1 out of 5,50%,"₦ 5,999","₦ 11,999",Men's Casual Canvas - Simple Running Shoes - Sport Sneakers
5 out of 5(1),5 out of 5,40%,"₦ 3,500","₦ 5,800",Non Marking Shoe Anti-slip Pad/Sole Guard
,,2%,"₦ 28,832","₦ 29,320",2023 Autumn And Winter New Leather Shoes For Men Large Size Business Dress Breathable Men's British Pointed Head Groom Wedding Shoes
,,44%,"₦ 10,668 - ₦ 11,303","₦ 19,050",Cute Girl Bowknot Princess Sandals Velcro Anti Slip Soft Sole Kid Children
,,48%,"₦ 33,764","₦ 65,000",Big Size 38-47 Mens Business Oxford Shoes Slip-On Mens's Casual Leather Footwear Brown
,,41%,"₦ 33,762","₦ 57,524",Men's Italian Plus Size Smooth Leather Shoes Blue
,,9%,"₦ 48,000","₦ 53,000",Godox TT600 2.4G HSS Wireless Flashgun Speedlite
,,23%,"₦ 33,990","₦ 43,990",Men Soccer Shoes High Ankle Football Boots Men Sneakers
,,,"₦ 6,500",,Boys Outdoor Canvas Shoe
,,26%,"₦ 26,500","₦ 35,900",Men's High Quality Tassel Leather Shoes
4.8 out of 5(6),4.8 out of 5,40%,"₦ 34,236","₦ 57,060",ADIDAS Originals Sneakers Kids Gazelle Cf I
,,35%,"₦ 6,500","₦ 9,999",Mens Cross Black Palm Slippers
3.5 out of 5(2),3.5 out of 5,55%,"₦ 13,500 - ₦ 30,000","₦ 30,000",Modern Men Half Shoe 2022 {f8} - Black
3.8 out of 5(17),3.8 out of 5,38%,"₦ 41,600","₦ 66,560",Italian Mens Leather Shoes Luxury Dress Shoes Men High Quality Office Shoes Man Wedding Shoes Black
,,61%,"₦ 27,399","₦ 69,998",Men's Lace-up PU Leather Shoes Pointed Business Formal Shoes
,,38%,"₦ 6,500","₦ 10,500",Primark Girls Stylish Strappy Flat Sandals
,,,"₦ 6,000",,Unisex Kids  Children Sandals
,,42%,"₦ 155,490","₦ 268,086",Work Safety Shoes Men Boots High Top Work Sneakers Steel Toe Cap Anti-smash
5 out of 5(1),5 out of 5,50%,"₦ 30,632","₦ 61,263",ADIDAS Originals Sneakers Kids Gazelle C
,,33%,"₦ 20,000","₦ 30,000",Mens Casual Half Shoes Party Footwear-Black Half Shoe For Men
,,35%,"₦ 37,900","₦ 58,182",High Quality Luxury Men's Oxford Leather Shoes Simple Design Men's Office Business Shoes Dress Shoes Lace-up Social Meeting Shoes Comfortable Sole Casual ShoesGreen
4 out of 5(2),4 out of 5,,"₦ 18,500",,Quality Boys And Girls Shoe Breathable Sneakers-white
,,,"₦ 17,500",,"Hat & Shoe Rack( For Bag, Cap, Multipurpose Use )"
,,,"₦ 11,999",,Kids Boys Children Loafers-Black Shoe
,,38%,"₦ 15,800","₦ 25,600",Butfolo Strong Soccer Football TRAINNER ORANGE
,,38%,"₦ 15,800","₦ 25,600",Butfolo Strong Soccer Football TRAINNER ORANGE
,,,"₦ 9,500",,MEN SNEAKER
,,45%,"₦ 47,000","₦ 85,455",XCST-BNZHO Classic Brogue Dress Shoes For Man Handmade Colour Splicing Leather Shoes Men Party Wedding Shoes Flats Men Oxfords Formal Shoes Lace Up Office Business Shoes EUR Size 38-46
4.4 out of 5(5),4.4 out of 5,,"₦ 15,000",,Red Princess Kimono With Gown
,,47%,"₦ 10,160 - ₦ 10,795","₦ 19,050",Cute Girl Bowknot Princess Sandals Velcro Anti Slip Soft Sole Kid Children
,,50%,"₦ 34,420 - ₦ 38,047","₦ 68,840 - ₦ 76,094",New Ubber Hight Cut  Outdoor BasketBall Shoes For Men Shoes
5 out of 5(1),5 out of 5,15%,"₦ 57,359","₦ 67,808",Top Quality Mens Shoes Full Grain Leather Business Formal Shoes Elegant Oxford Shoes For Men Brown
,,50%,"₦ 22,395","₦ 44,790",Children's Retro Martin Boots For Boys And Girls Short Leather Single Boot Black
,,13%,"₦ 44,450","₦ 50,800",Football Boots High Quality Low Top Football Boots White
,,31%,"₦ 35,420","₦ 51,020",Men Soccer Shoes AG High Ankle Football Boots Men Sneakers
3.7 out of 5(18),3.7 out of 5,48%,"₦ 17,500","₦ 33,700",NEW Brogues LACE UP Designers Shoe Black
4 out of 5(2),4 out of 5,45%,"₦ 33,255","₦ 60,510",Men's Italian Plus Size Smooth Leather Shoes Blue
,,70%,"₦ 12,000","₦ 40,000",Executive Men Italian Leather Shoes - Burgundy Red
,,5%,"₦ 41,990","₦ 43,990",Men Soccer Shoes High Ankle Football Boots Men Sneakers
,,50%,"₦ 17,798 - ₦ 21,388","₦ 35,596 - ₦ 42,776",Mens Boys Casual School Outing Sandals
1 out of 5(1),1 out of 5,,"₦ 10,500",,SPORT Men Sports Green Trainers
3.3 out of 5(3),3.3 out of 5,50%,"₦ 5,999","₦ 12,000",Men Luxury Loafers - Party Shoes - Black
,,50%,"₦ 41,230","₦ 53,652 - ₦ 82,875",EUR38-44 H Dresser Leather Shoes Pointed Small Leather Shoes Handmade Wedding Shoes Small Suit Shoes Gold
,,13%,"₦ 18,300","₦ 21,000",Cloth Hanger With Shoe Rack
,,27%,"₦ 5,500","₦ 7,500",Dunnes Kids Padded Indoor Fluffy Slippers
4.1 out of 5(14),4.1 out of 5,43%,"₦ 22,978","₦ 40,662",Breathable Trend Running Shoes-TL605 White
,,50%,"₦ 41,360","₦ 82,778",2021 New Children's Shoes Breathable Sport Sneakers
4 out of 5(1),4 out of 5,35%,"₦ 25,500","₦ 39,000",12 Layers Shoe Rack Shelf Storage Closet Organizer Cabinet
,,49%,"₦ 17,980","₦ 35,000",NEW CLASSIC BROGUES TIE  DESIGNER SHOE BLACK
3.8 out of 5(4),3.8 out of 5,,"₦ 14,600",,SPORT Butfolo Men Football Boots Blue
,,52%,"₦ 27,372 - ₦ 29,368","₦ 51,156 - ₦ 61,156",Children's Sports Shoes 2022 Spring Boys Casual Shoes Girls Sneakers White
